alpha_group,name,url,slug,doc_id,site,category,aliases,short_text_simple,long_text_complex,next_step,disclaimer,jargon_terms,short_avg_sentence_len,short_avg_word_len,short_word_count,short_sentence_count,long_avg_sentence_len,long_avg_word_len,long_word_count,long_sentence_count,short_readability_score,long_readability_score
0-9,17q12 deletie syndroom,https://www.erfelijkheid.nl/ziektes/17q12-deletie-syndroom,17q12-deletie-syndroom,17q12-deletie-syndroom,https://www.erfocentrum.nl/,Nieuwe technieken,17 q12 deletie syndroom|17q 12 deletie syndroom|17q12 deletie syn|17q12 deletie syndroom|17q12deletiesyndroom,Bij 17q12 deletie syndroom spelen genen een rol. Deze pagina helpt je om snel te vinden: is het erfelijk en wat is een logische volgende stap.,17q12 deletie syndroom wordt in de literatuur beschreven als een genetische aandoening met heterogene etiologie. Fenotype-expressie en penetrantie kunnen variëren; risico-inschatting hangt af van familieanamnese en genetische bevindingen. Differentiaaldiagnostiek en indicatiestelling voor DNA-diagnostiek verlopen doorgaans via zorgprofessionals. Bespreek vragen met de huisarts; zo nodig volgt verwijzing naar een klinisch geneticus.,Maak een afspraak bij de huisarts om je familiegeschiedenis te bespreken. Een klinisch geneticus kan uitleg geven over erfelijkheid.,Deze informatie is algemeen en is geen diagnose of persoonlijk medisch advies. Bespreek klachten of zorgen altijd met een arts.,penetrantie|fenotype|etiologie|differentiaaldiagnostiek|indicatiestelling,13.0,4.384615384615385,26,2,13.25,7.113207547169812,53,4,9.553846153846154,10.795283018867924
0-9,3MC syndroom,https://www.erfelijkheid.nl/ziektes/3mc-syndroom,3mc-syndroom,3mc-syndroom,https://www.erfocentrum.nl/,Aanleg en ontwikkeling,3 mc syndroom|3mc syn|3mc syndroom|3mcsyndroom,"3MC syndroom is een erfelijke aandoening. Op deze pagina vind je wat het is, of het in families voorkomt en wat je kunt doen als je vragen hebt.",3MC syndroom wordt in de literatuur beschreven als een genetische aandoening met heterogene etiologie. Fenotype-expressie en penetrantie kunnen variëren; risico-inschatting hangt af van familieanamnese en genetische bevindingen. Differentiaaldiagnostiek en indicatiestelling voor DNA-diagnostiek verlopen doorgaans via zorgprofessionals. Bespreek vragen met de huisarts; zo nodig volgt verwijzing naar een klinisch geneticus.,Maak een afspraak bij de huisarts om je familiegeschiedenis te bespreken. Een klinisch geneticus kan uitleg geven over erfelijkheid.,Deze informatie is algemeen en is geen diagnose of persoonlijk medisch advies. Bespreek klachten of zorgen altijd met een arts.,penetrantie|fenotype|etiologie|differentiaaldiagnostiek|indicatiestelling,14.0,4.071428571428571,28,2,13.0,7.076923076923077,52,4,10.028571428571428,10.63076923076923
0-9,3-MCC deficiëntie,https://www.erfelijkheid.nl/ziektes/3-mcc-deficientie,3-mcc-deficientie,3-mcc-deficientie,https://www.erfocentrum.nl/,Aanleg en ontwikkeling,3 mcc deficientie|3-mcc deficientie|3-mcc deficiëntie|3-mccdeficientie,"3-MCC deficiëntie is een erfelijke aandoening. Op deze pagina vind je wat het is, of het in families voorkomt en wat je kunt doen als je vragen hebt.",3-MCC deficiëntie wordt in de literatuur beschreven als een genetische aandoening met heterogene etiologie. Fenotype-expressie en penetrantie kunnen variëren; risico-inschatting hangt af van familieanamnese en genetische bevindingen. Differentiaaldiagnostiek en indicatiestelling voor DNA-diagnostiek verlopen doorgaans via zorgprofessionals. Bespreek vragen met de huisarts; zo nodig volgt verwijzing naar een klinisch geneticus.,Maak een afspraak bij de huisarts om je familiegeschiedenis te bespreken. Een klinisch geneticus kan uitleg geven over erfelijkheid.,Deze informatie is algemeen en is geen diagnose of persoonlijk medisch advies. Bespreek klachten of zorgen altijd met een arts.,penetrantie|fenotype|etiologie|differentiaaldiagnostiek|indicatiestelling,14.5,4.068965517241379,29,2,13.25,7.018867924528302,53,4,10.327586206896552,10.757547169811321
0-9,5-Alfa-reductase-2 deficiëntie,https://www.erfelijkheid.nl/ziektes/5-alfa-reductase-2-deficientie,5-alfa-reductase-2-deficientie,5-alfa-reductase-2-deficientie,https://www.erfocentrum.nl/,Aanleg en ontwikkeling,5 alfa reductase 2 deficientie|5-alfa-reductase-2 deficientie|5-alfa-reductase-2 deficiëntie|5-alfa-reductase-2deficientie,Bij 5-Alfa-reductase-2 deficiëntie spelen genen een rol. Deze pagina helpt je om snel te vinden: is het erfelijk en wat is een logische volgende stap.,5-Alfa-reductase-2 deficiëntie wordt in de literatuur beschreven als een genetische aandoening met heterogene etiologie. Fenotype-expressie en penetrantie kunnen variëren; risico-inschatting hangt af van familieanamnese en genetische bevindingen. Differentiaaldiagnostiek en indicatiestelling voor DNA-diagnostiek verlopen doorgaans via zorgprofessionals. Bespreek vragen met de huisarts; zo nodig volgt verwijzing naar een klinisch geneticus.,Bespreek je vraag met je huisarts. Vraag zo nodig om een verwijzing naar de klinische genetica.,Deze informatie is algemeen en is geen diagnose of persoonlijk medisch advies. Bespreek klachten of zorgen altijd met een arts.,penetrantie|fenotype|etiologie|differentiaaldiagnostiek|indicatiestelling,14.0,4.285714285714286,28,2,13.75,6.963636363636364,55,4,10.114285714285714,11.035454545454545
0-9,6q-deleties,https://www.erfelijkheid.nl/ziektes/6q-deleties,6q-deleties,6q-deleties,https://www.erfocentrum.nl/,Nieuwe technieken,6 q-deleties|6q deleties|6q-deleties,6q-deleties is een zeldzame erfelijke aandoening. Hier lees je in eenvoudige woorden de belangrijkste punten en waar je terechtkunt voor hulp.,"6q-deleties betreft een genetisch bepaalde aandoening waarbij varianten in een of meerdere genen kunnen leiden tot klinische verschijnselen. De overerving kan autosomaal dominant, autosomaal recessief of X-gebonden zijn, afhankelijk van het onderliggende mechanisme. Diagnostiek kan bestaan uit moleculair-genetisch onderzoek en/of chromosoomanalyse. Voor counseling en interpretatie van uitslagen kan verwijzing naar de klinische genetica passend zijn.",Maak een afspraak bij de huisarts om je familiegeschiedenis te bespreken. Een klinisch geneticus kan uitleg geven over erfelijkheid.,Deze informatie is algemeen en is geen diagnose of persoonlijk medisch advies. Bespreek klachten of zorgen altijd met een arts.,autosomaal|recessief|dominant|x-gebonden|moleculair|chromosoomanalyse|counseling,11.0,5.409090909090909,22,2,14.75,6.593220338983051,59,4,8.763636363636364,11.48728813559322
0-9,9p deletie,https://www.erfelijkheid.nl/ziektes/9p-deletie,9p-deletie,9p-deletie,https://www.erfocentrum.nl/,Nieuwe technieken,9 p deletie|9p deletie|9pdeletie,"9p deletie is een erfelijke aandoening. Op deze pagina vind je wat het is, of het in families voorkomt en wat je kunt doen als je vragen hebt.",9p deletie wordt in de literatuur beschreven als een genetische aandoening met heterogene etiologie. Fenotype-expressie en penetrantie kunnen variëren; risico-inschatting hangt af van familieanamnese en genetische bevindingen. Differentiaaldiagnostiek en indicatiestelling voor DNA-diagnostiek verlopen doorgaans via zorgprofessionals. Bespreek vragen met de huisarts; zo nodig volgt verwijzing naar een klinisch geneticus.,Maak een afspraak bij de huisarts om je familiegeschiedenis te bespreken. Een klinisch geneticus kan uitleg geven over erfelijkheid.,Deze informatie is algemeen en is geen diagnose of persoonlijk medisch advies. Bespreek klachten of zorgen altijd met een arts.,penetrantie|fenotype|etiologie|differentiaaldiagnostiek|indicatiestelling,14.0,4.0,28,2,13.0,7.038461538461538,52,4,10.0,10.615384615384615
0-9,18q deletie syndroom,https://www.erfelijkheid.nl/ziektes/18q-deletie-syndroom,18q-deletie-syndroom,18q-deletie-syndroom,https://www.erfocentrum.nl/,Nieuwe technieken,18 q deletie syndroom|18q deletie syn|18q deletie syndroom|18qdeletiesyndroom,"18q deletie syndroom is een erfelijke aandoening. Op deze pagina vind je wat het is, of het in families voorkomt en wat je kunt doen als je vragen hebt.",18q deletie syndroom wordt in de literatuur beschreven als een genetische aandoening met heterogene etiologie. Fenotype-expressie en penetrantie kunnen variëren; risico-inschatting hangt af van familieanamnese en genetische bevindingen. Differentiaaldiagnostiek en indicatiestelling voor DNA-diagnostiek verlopen doorgaans via zorgprofessionals. Bespreek vragen met de huisarts; zo nodig volgt verwijzing naar een klinisch geneticus.,Maak een afspraak bij de huisarts om je familiegeschiedenis te bespreken. Een klinisch geneticus kan uitleg geven over erfelijkheid.,Deze informatie is algemeen en is geen diagnose of persoonlijk medisch advies. Bespreek klachten of zorgen altijd met een arts.,penetrantie|fenotype|etiologie|differentiaaldiagnostiek|indicatiestelling,14.5,4.172413793103448,29,2,13.25,7.0754716981132075,53,4,10.368965517241378,10.780188679245283
0-9,22q11.2 deletie syndroom,https://www.erfelijkheid.nl/ziektes/22q112-deletie-syndroom,22q112-deletie-syndroom,22q112-deletie-syndroom,https://www.erfocentrum.nl/,Nieuwe technieken,22 q11 2 deletie syndroom|22q 11 2 deletie syndroom|22q11 2 deletie syn|22q11 2 deletie syndroom|22q112 deletie syndroom|22q112deletiesyndroom,"22q11.2 deletie syndroom is een erfelijke aandoening. Op deze pagina vind je wat het is, of het in families voorkomt en wat je kunt doen als je vragen hebt.",22q11.2 deletie syndroom wordt in de literatuur beschreven als een genetische aandoening met heterogene etiologie. Fenotype-expressie en penetrantie kunnen variëren; risico-inschatting hangt af van familieanamnese en genetische bevindingen. Differentiaaldiagnostiek en indicatiestelling voor DNA-diagnostiek verlopen doorgaans via zorgprofessionals. Bespreek vragen met de huisarts; zo nodig volgt verwijzing naar een klinisch geneticus.,Bespreek je vraag met je huisarts. Vraag zo nodig om een verwijzing naar de klinische genetica.,Deze informatie is algemeen en is geen diagnose of persoonlijk medisch advies. Bespreek klachten of zorgen altijd met een arts.,penetrantie|fenotype|etiologie|differentiaaldiagnostiek|indicatiestelling,10.0,4.133333333333334,30,3,10.8,7.0,54,5,7.653333333333333,9.280000000000001
0-9,"46, XY DSD",https://www.erfelijkheid.nl/ziektes/overzicht/46xy-dsd,46xy-dsd,46xy-dsd,https://www.erfocentrum.nl/,Aanleg en ontwikkeling,46 xy dsd|46xy dsd|46xydsd,"Bij 46, XY DSD spelen genen een rol. Deze pagina helpt je om snel te vinden: is het erfelijk en wat is een logische volgende stap.","46, XY DSD betreft een genetisch bepaalde aandoening waarbij varianten in een of meerdere genen kunnen leiden tot klinische verschijnselen. De overerving kan autosomaal dominant, autosomaal recessief of X-gebonden zijn, afhankelijk van het onderliggende mechanisme. Diagnostiek kan bestaan uit moleculair-genetisch onderzoek en/of chromosoomanalyse. Voor counseling en interpretatie van uitslagen kan verwijzing naar de klinische genetica passend zijn.",Bespreek je vraag met je huisarts. Vraag zo nodig om een verwijzing naar de klinische genetica.,Deze informatie is algemeen en is geen diagnose of persoonlijk medisch advies. Bespreek klachten of zorgen altijd met een arts.,autosomaal|recessief|dominant|x-gebonden|moleculair|chromosoomanalyse|counseling,13.0,3.8846153846153846,26,2,15.0,6.433333333333334,60,4,9.353846153846154,11.573333333333334
0-9,"49,XXXXY syndroom",https://www.erfelijkheid.nl/ziektes/49XXXXY-syndroom,49XXXXY-syndroom,49XXXXY-syndroom,https://www.erfocentrum.nl/,Aanleg en ontwikkeling,49 xxxxy syn|49 xxxxy syndroom|49XXXXY syndroom|49xxxxysyndroom,"49,XXXXY syndroom is een erfelijke aandoening. Op deze pagina vind je wat het is, of het in families voorkomt en wat je kunt doen als je vragen hebt.","49,XXXXY syndroom wordt in de literatuur beschreven als een genetische aandoening met heterogene etiologie. Fenotype-expressie en penetrantie kunnen variëren; risico-inschatting hangt af van familieanamnese en genetische bevindingen. Differentiaaldiagnostiek en indicatiestelling voor DNA-diagnostiek verlopen doorgaans via zorgprofessionals. Bespreek vragen met de huisarts; zo nodig volgt verwijzing naar een klinisch geneticus.",Bespreek je vraag met je huisarts. Vraag zo nodig om een verwijzing naar de klinische genetica.,Deze informatie is algemeen en is geen diagnose of persoonlijk medisch advies. Bespreek klachten of zorgen altijd met een arts.,penetrantie|fenotype|etiologie|differentiaaldiagnostiek|indicatiestelling,14.5,4.068965517241379,29,2,13.25,7.018867924528302,53,4,10.327586206896552,10.757547169811321
