term,synonyms
spierziekte,"neuromusculaire aandoening,myopathie,spieraandoening"
neuromusculaire aandoening,"spierziekte,spieraandoening"
erfelijke ziekte,"genetische aandoening,erfelijke aandoening"
genetische aandoening,"erfelijke ziekte,erfelijke aandoening"
dna onderzoek,"genetisch onderzoek,dna-test,genetische test"
dna-test,"genetisch onderzoek,dna onderzoek"
genetisch onderzoek,"dna onderzoek,dna-test"
drager,"dragerschap,aanlegdrager"
dragerschap,"drager"
erfelijke aanleg,"genetische aanleg"
genetische aanleg,"erfelijke aanleg"
kinderwens,"zwanger worden,kind krijgen,voortplanting"
zwanger worden,"kinderwens,zwangerschap"
zwangerschap,"zwanger zijn,prenatale periode"
prenataal onderzoek,"onderzoek tijdens zwangerschap,zwangerschapsonderzoek"
zwangerschapstest,"prenataal onderzoek"
familietest,"verwantschapstest,afstammingstest"
verwantschapstest,"familietest,afstammingstest"
afstamming,"afkomst,verwantschap"
afstammingstest,"verwantschapstest,familietest"
klinische genetica,"erfelijkheidszorg,genetisch specialisme"
klinisch geneticus,"genetisch specialist,erfelijkheidsarts"
genetisch counselor,"erfelijkheidsadviseur"
diagnose,"vaststellen,oorzaak vinden"
risico,"kans,waarschijnlijkheid"
screening,"vroeg opsporen,vooronderzoek"
autosomaal dominant,"dominante overerving"
autosomaal recessief,"recessieve overerving"
x-gebonden,"geslachtsgebonden"
erfelijkheid,"genetica,overerving"
overerving,"erfelijkheid,genetica"
mutatie,"genetische verandering,dna-verandering"
variant,"genetische variant,mutatie"
syndroom,"aandoening,ziektebeeld"
aangeboren,"bij geboorte aanwezig"
familiegeschiedenis,"ziekten in de familie,familiaire belasting"
